# SignalAssistant session log
# Started at 2025-12-27 04:07:20
2025-12-27 04:07:20 [session] mode=live session='' path='' duration=0.00 files=0
2025-12-27 04:07:20 [tracker-settings] TrackerConfig onsetThreshold=0.02000 minNoteDurSec=0.045 hopSec=0.010 slideDelta=120.0 bendDelta=35.0
2025-12-27 04:07:20 [tracker-settings] string1 midi=40 lowCut=77.50Hz highCut=135.00Hz baseline=0.001000 gateRatio=0.05500 envFloor=0.001500 sustainScale=0.580 retriggerScale=1.400 pitchTol=0.250 onsetScale=0.360
2025-12-27 04:07:20 [tracker-settings] string2 midi=45 lowCut=102.50Hz highCut=215.00Hz baseline=0.001200 gateRatio=0.10000 envFloor=0.001800 sustainScale=0.700 retriggerScale=1.250 pitchTol=0.400 onsetScale=0.610
2025-12-27 04:07:20 [tracker-settings] string3 midi=50 lowCut=137.50Hz highCut=290.00Hz baseline=0.001400 gateRatio=0.13000 envFloor=0.002100 sustainScale=0.820 retriggerScale=1.100 pitchTol=0.450 onsetScale=0.930
2025-12-27 04:07:20 [tracker-settings] string4 midi=55 lowCut=187.50Hz highCut=385.00Hz baseline=0.001600 gateRatio=0.17000 envFloor=0.002400 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.440 onsetScale=1.260
2025-12-27 04:07:20 [tracker-settings] string5 midi=59 lowCut=237.50Hz highCut=485.00Hz baseline=0.001800 gateRatio=0.21000 envFloor=0.002700 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.500 onsetScale=1.440
2025-12-27 04:07:20 [tracker-settings] string6 midi=64 lowCut=317.50Hz highCut=650.00Hz baseline=0.002000 gateRatio=0.25000 envFloor=0.003000 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.550 onsetScale=1.620
2025-12-27 04:07:20 [calibration] Loaded avgRms/peakRms from legacy calibration file
2025-12-27 04:07:20 [calibration] Calibration profile derived from tuning state
2025-12-27 04:07:21 [filter-config] String 1: lowCutMult=75.00 highCutMult=135.00 -> lowCut=75.00 highCut=135.00
2025-12-27 04:07:21 [filter] Low E AGGRESSIVE LPF: 150Hz, LP[0.000095,0.000190,0.000095,-1.972234,0.972614]
2025-12-27 04:07:21 [raw-input] LOW E RAW INPUT: n=128 zc=99 zcFreq=18562.5Hz samples=[0.01009,-0.00042,0.00063,-0.00228,0.01720]
2025-12-27 04:07:21 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01720 rms=0.00864 zc=99 zcFreq=18562.5Hz filtered=0 samples=[0.01009,-0.00042,0.00063,-0.00228,0.01720]
2025-12-27 04:07:21 [raw-input] LOW E RAW INPUT: n=128 zc=111 zcFreq=20812.5Hz samples=[0.01129,-0.01619,0.00174,-0.00595,-0.00224]
2025-12-27 04:07:21 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01751 rms=0.00868 zc=111 zcFreq=20812.5Hz filtered=0 samples=[0.01129,-0.01619,0.00174,-0.00595,-0.00224]
2025-12-27 04:07:21 [raw-input] LOW E RAW INPUT: n=128 zc=103 zcFreq=19312.5Hz samples=[0.00437,-0.00624,0.01135,-0.01113,0.00883]
2025-12-27 04:07:21 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01692 rms=0.00842 zc=103 zcFreq=19312.5Hz filtered=0 samples=[0.00437,-0.00624,0.01135,-0.01113,0.00883]
2025-12-27 04:07:21 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01574 rms=0.00817 zc=98 zcFreq=18375.0Hz filtered=0 samples=[-0.00104,-0.00328,0.01205,-0.01354,0.00538]
2025-12-27 04:07:21 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01707 rms=0.00792 zc=103 zcFreq=19312.5Hz filtered=0 samples=[0.01323,-0.00290,0.00320,0.00081,0.01104]
