# SignalAssistant session log
# Started at 2025-12-27 04:03:50
2025-12-27 04:03:50 [session] mode=live session='' path='' duration=0.00 files=0
2025-12-27 04:03:50 [tracker-settings] TrackerConfig onsetThreshold=0.02000 minNoteDurSec=0.045 hopSec=0.010 slideDelta=120.0 bendDelta=35.0
2025-12-27 04:03:50 [tracker-settings] string1 midi=40 lowCut=77.50Hz highCut=135.00Hz baseline=0.001000 gateRatio=0.05500 envFloor=0.001500 sustainScale=0.580 retriggerScale=1.400 pitchTol=0.250 onsetScale=0.360
2025-12-27 04:03:50 [tracker-settings] string2 midi=45 lowCut=102.50Hz highCut=215.00Hz baseline=0.001200 gateRatio=0.10000 envFloor=0.001800 sustainScale=0.700 retriggerScale=1.250 pitchTol=0.400 onsetScale=0.610
2025-12-27 04:03:50 [tracker-settings] string3 midi=50 lowCut=137.50Hz highCut=290.00Hz baseline=0.001400 gateRatio=0.13000 envFloor=0.002100 sustainScale=0.820 retriggerScale=1.100 pitchTol=0.450 onsetScale=0.930
2025-12-27 04:03:50 [tracker-settings] string4 midi=55 lowCut=187.50Hz highCut=385.00Hz baseline=0.001600 gateRatio=0.17000 envFloor=0.002400 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.440 onsetScale=1.260
2025-12-27 04:03:50 [tracker-settings] string5 midi=59 lowCut=237.50Hz highCut=485.00Hz baseline=0.001800 gateRatio=0.21000 envFloor=0.002700 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.500 onsetScale=1.440
2025-12-27 04:03:50 [tracker-settings] string6 midi=64 lowCut=317.50Hz highCut=650.00Hz baseline=0.002000 gateRatio=0.25000 envFloor=0.003000 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.550 onsetScale=1.620
2025-12-27 04:03:50 [calibration] Loaded avgRms/peakRms from legacy calibration file
2025-12-27 04:03:50 [calibration] Calibration profile derived from tuning state
2025-12-27 04:03:50 [filter-config] String 1: lowCutMult=75.00 highCutMult=135.00 -> lowCut=75.00 highCut=135.00
2025-12-27 04:03:50 [filter] Low E AGGRESSIVE LPF: 150Hz, LP[0.000095,0.000190,0.000095,-1.972234,0.972614]
2025-12-27 04:03:50 [raw-input] LOW E RAW INPUT: n=128 zc=96 zcFreq=18000.0Hz samples=[-0.00260,0.00134,-0.00362,0.01940,-0.01027]
2025-12-27 04:03:50 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01940 rms=0.00788 zc=96 zcFreq=18000.0Hz filtered=0 samples=[-0.00260,0.00134,-0.00362,0.01940,-0.01027]
2025-12-27 04:03:50 [raw-input] LOW E RAW INPUT: n=128 zc=94 zcFreq=17625.0Hz samples=[-0.00381,-0.00027,-0.00348,0.01652,-0.01190]
2025-12-27 04:03:50 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01832 rms=0.00789 zc=94 zcFreq=17625.0Hz filtered=0 samples=[-0.00381,-0.00027,-0.00348,0.01652,-0.01190]
2025-12-27 04:03:50 [raw-input] LOW E RAW INPUT: n=128 zc=97 zcFreq=18187.5Hz samples=[-0.00964,0.00399,-0.00328,0.00180,-0.00756]
2025-12-27 04:03:50 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01792 rms=0.00753 zc=97 zcFreq=18187.5Hz filtered=0 samples=[-0.00964,0.00399,-0.00328,0.00180,-0.00756]
2025-12-27 04:03:50 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01584 rms=0.00740 zc=99 zcFreq=18562.5Hz filtered=0 samples=[-0.01279,0.00073,0.00070,0.00127,-0.00343]
2025-12-27 04:03:50 [aubio-input] LOW E aubio buffer: hop=128 peak=0.01843 rms=0.00719 zc=91 zcFreq=17062.5Hz filtered=0 samples=[-0.00492,0.01270,-0.01014,0.00259,-0.00222]
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=62.54Hz filtered=0 peak=0.01778
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=75.06Hz filtered=0 peak=0.01782
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=93.84Hz filtered=0 peak=0.01736
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=125.16Hz filtered=0 peak=0.01531
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=187.87Hz filtered=0 peak=0.01568
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=376.47Hz filtered=0 peak=0.01612
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=0 peak=0.01439
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8028.82Hz filtered=0 peak=0.01595
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8029.57Hz filtered=0 peak=0.01457
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8030.87Hz filtered=0 peak=0.01438
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8027.29Hz filtered=0 peak=0.01363
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.77Hz filtered=0 peak=0.01358
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8026.36Hz filtered=0 peak=0.01414
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8026.43Hz filtered=0 peak=0.01498
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.07Hz filtered=0 peak=0.01435
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.14Hz filtered=0 peak=0.01258
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.47Hz filtered=0 peak=0.01498
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8026.00Hz filtered=0 peak=0.01676
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.29Hz filtered=0 peak=0.01331
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8024.66Hz filtered=0 peak=0.01273
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.18Hz filtered=0 peak=0.01302
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.63Hz filtered=0 peak=0.01266
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.49Hz filtered=0 peak=0.01244
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.49Hz filtered=0 peak=0.01228
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8025.44Hz filtered=0 peak=0.01098
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8024.78Hz filtered=0 peak=0.01306
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8026.72Hz filtered=0 peak=0.01275
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8028.31Hz filtered=0 peak=0.01163
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8028.96Hz filtered=0 peak=0.01207
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8029.78Hz filtered=0 peak=0.01048
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8032.45Hz filtered=0 peak=0.01173
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8033.24Hz filtered=0 peak=0.01131
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8034.08Hz filtered=0 peak=0.01262
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8035.08Hz filtered=0 peak=0.01141
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8037.23Hz filtered=0 peak=0.01112
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8039.98Hz filtered=0 peak=0.01381
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8039.98Hz filtered=0 peak=0.01167
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8040.73Hz filtered=0 peak=0.01306
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8042.52Hz filtered=0 peak=0.01304
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8043.25Hz filtered=0 peak=0.01295
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=16390.07Hz filtered=0 peak=0.01344
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=16381.76Hz filtered=0 peak=0.01283
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=16377.72Hz filtered=0 peak=0.01317
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=16378.23Hz filtered=0 peak=0.01623
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=16380.52Hz filtered=0 peak=0.01514
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=16380.17Hz filtered=0 peak=0.01274
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=16383.18Hz filtered=0 peak=0.01242
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=16386.46Hz filtered=0 peak=0.01288
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=16380.79Hz filtered=0 peak=0.01245
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8041.75Hz filtered=0 peak=0.01346
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8041.84Hz filtered=0 peak=0.01464
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8041.27Hz filtered=0 peak=0.01458
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8040.88Hz filtered=0 peak=0.01427
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8041.83Hz filtered=0 peak=0.01531
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8041.49Hz filtered=0 peak=0.01469
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8039.74Hz filtered=0 peak=0.01639
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8039.62Hz filtered=0 peak=0.01673
2025-12-27 04:03:50 [detection] LOW E RAW PITCH: detected=8038.56Hz filtered=0 peak=0.01469
