# SignalAssistant session log
# Started at 2025-12-26 01:51:56
2025-12-26 01:51:56 [session] mode=live session='' path='' duration=0.00 files=0
2025-12-26 01:51:56 [tracker-settings] TrackerConfig onsetThreshold=0.02000 minNoteDurSec=0.045 hopSec=0.010 slideDelta=120.0 bendDelta=35.0
2025-12-26 01:51:56 [tracker-settings] string1 midi=40 lowCut=77.50Hz highCut=135.00Hz baseline=0.001000 gateRatio=0.05500 envFloor=0.001500 sustainScale=0.580 retriggerScale=1.400 pitchTol=0.250 onsetScale=0.360
2025-12-26 01:51:56 [tracker-settings] string2 midi=45 lowCut=102.50Hz highCut=215.00Hz baseline=0.001200 gateRatio=0.10000 envFloor=0.001800 sustainScale=0.700 retriggerScale=1.250 pitchTol=0.400 onsetScale=0.610
2025-12-26 01:51:56 [tracker-settings] string3 midi=50 lowCut=137.50Hz highCut=290.00Hz baseline=0.001400 gateRatio=0.13000 envFloor=0.002100 sustainScale=0.820 retriggerScale=1.100 pitchTol=0.450 onsetScale=0.930
2025-12-26 01:51:56 [tracker-settings] string4 midi=55 lowCut=187.50Hz highCut=385.00Hz baseline=0.001600 gateRatio=0.17000 envFloor=0.002400 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.440 onsetScale=1.260
2025-12-26 01:51:56 [tracker-settings] string5 midi=59 lowCut=237.50Hz highCut=485.00Hz baseline=0.001800 gateRatio=0.21000 envFloor=0.002700 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.500 onsetScale=1.440
2025-12-26 01:51:56 [tracker-settings] string6 midi=64 lowCut=317.50Hz highCut=650.00Hz baseline=0.002000 gateRatio=0.25000 envFloor=0.003000 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.550 onsetScale=1.620
2025-12-26 01:51:56 [calibration] Loaded avgRms/peakRms from legacy calibration file
2025-12-26 01:51:56 [calibration] Calibration profile derived from tuning state
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=125.16Hz filtered=1 peak=0.00150
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=187.87Hz filtered=1 peak=0.00268
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=376.47Hz filtered=1 peak=0.00169
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00180
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=30490.55Hz filtered=1 peak=0.00230
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=29186.07Hz filtered=1 peak=0.00230
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00184
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=27489.02Hz filtered=1 peak=0.00242
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26664.24Hz filtered=1 peak=0.00235
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26246.33Hz filtered=1 peak=0.00214
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26364.28Hz filtered=1 peak=0.00270
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26267.15Hz filtered=1 peak=0.00175
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26127.03Hz filtered=1 peak=0.00162
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26040.55Hz filtered=1 peak=0.00248
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25892.16Hz filtered=1 peak=0.00237
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25802.54Hz filtered=1 peak=0.00151
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26101.83Hz filtered=1 peak=0.00255
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25964.14Hz filtered=1 peak=0.00249
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25960.32Hz filtered=1 peak=0.00151
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26143.75Hz filtered=1 peak=0.00230
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25859.52Hz filtered=1 peak=0.00244
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25802.38Hz filtered=1 peak=0.00171
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25848.91Hz filtered=1 peak=0.00251
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25789.70Hz filtered=1 peak=0.00237
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25931.05Hz filtered=1 peak=0.00145
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26134.37Hz filtered=1 peak=0.00245
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=26065.19Hz filtered=1 peak=0.00252
2025-12-26 01:51:57 [detection] LOW E RAW PITCH: detected=25959.56Hz filtered=1 peak=0.00164
